Position,NAME,TEAM,GOALS SCORED,GAMES,GOALS PER MATCH,Assists_Position,ASSISTS,ASSISTS PER MATCH,Pass_Position,Completed Pass,Total Pass
66,LUCAS BOYÉ,GRANADA CF,3,23,0.13,46,3,0.13,258,309,422
250,MARC MARTÍNEZ,GRANADA CF,0,0,0,239,0,0,566,0,0
250,MARIO GONZÁLEZ,GRANADA CF,0,0,0,239,0,0,566,0,0
250,MARTIN HONGLA,GRANADA CF,0,8,0,239,0,0,366,160,191
250,MATÍAS AREZO,GRANADA CF,0,9,0,239,0,0,485,29,46
145,MIGUEL RUBIO,GRANADA CF,1,12,0.08,239,0,0,220,413,518
17,MYRTO UZUNI,GRANADA CF,9,29,0.31,137,1,0.03,332,203,258
250,NJEGOS PETROVIC,GRANADA CF,0,10,0,239,0,0,452,66,78
250,PABLO SÁENZ,GRANADA CF,0,0,0,239,0,0,566,0,0
250,POL TRISTÁN,GRANADA CF,0,0,0,239,0,0,566,0,0
250,RAÚL FERNÁNDEZ,GRANADA CF,0,4,0,239,0,0,433,59,95
250,RAÚL TORRENTE,GRANADA CF,0,14,0,239,0,0,174,508,637
66,RICARD SÁNCHEZ,GRANADA CF,3,28,0.11,239,0,0,142,535,709
250,SERGIO RUIZ,GRANADA CF,0,27,0,74,2,0.07,62,849,987
250,SHON WEISSMAN,GRANADA CF,0,5,0,239,0,0,528,9,12
145,THEO CORBEANU,GRANADA CF,1,6,0.17,239,0,0,498,27,35
250,VÍCTOR DÍAZ,GRANADA CF,0,4,0,239,0,0,461,45,69
250,WILSON MIGUEIS MANAFÁ JANCÓ,GRANADA CF,0,4,0,239,0,0,431,75,98
250,ÁLVARO FERNÁNDEZ,GRANADA CF,0,13,0,239,0,0,366,150,191
250,ÓSCAR MELENDO,GRANADA CF,0,22,0,239,0,0,281,299,364
145,ABDUL MUMIN,RAYO VALLECANO,1,13,0.08,239,0,0,247,359,451
250,ALFONSO ESPINO,RAYO VALLECANO,0,28,0,137,1,0.04,58,772,1024
250,ANDREI RATIU,RAYO VALLECANO,0,8,0,239,0,0,401,106,139
250,ARIDANE HERNÁNDEZ,RAYO VALLECANO,0,18,0,239,0,0,139,616,721
250,DANI CÁRDENAS,RAYO VALLECANO,0,0,0,239,0,0,566,0,0
250,DIEGO MÉNDEZ,RAYO VALLECANO,0,1,0,239,0,0,563,2,2
95,FLORIAN LEJEUNE,RAYO VALLECANO,2,29,0.07,137,1,0.03,14,1284,1569
66,ISI PALAZÓN,RAYO VALLECANO,3,29,0.1,137,1,0.03,96,630,848
250,IVÁN BALLIU,RAYO VALLECANO,0,27,0,239,0,0,99,646,841
145,JORGE DE FRUTOS,RAYO VALLECANO,1,28,0.04,239,0,0,323,211,281
250,JORGE MORENO,RAYO VALLECANO,0,0,0,239,0,0,566,0,0
250,JOSÉ POZO,RAYO VALLECANO,0,2,0,239,0,0,531,11,11
145,KIKE PÉREZ,RAYO VALLECANO,1,22,0.05,239,0,0,301,259,326
250,MARTÍN PASCUAL,RAYO VALLECANO,0,0,0,239,0,0,566,0,0
250,MIGUEL CRESPO DA SILVA,RAYO VALLECANO,0,7,0,239,0,0,403,115,135
250,MIGUEL ÁNGEL MORRO,RAYO VALLECANO,0,0,0,239,0,0,566,0,0
250,PABLO MUÑOZ,RAYO VALLECANO,0,0,0,239,0,0,566,0,0
145,PATHÉ CISS,RAYO VALLECANO,1,24,0.04,239,0,0,154,570,687
250,PEP CHAVARRÍA,RAYO VALLECANO,0,15,0,137,1,0.07,288,280,353
145,RADAMEL FALCAO,RAYO VALLECANO,1,16,0.06,239,0,0,466,51,65
145,RANDY NTEKA,RAYO VALLECANO,1,11,0.09,137,1,0.09,403,97,135
145,RAÚL DE TOMÁS,RAYO VALLECANO,1,22,0.05,74,2,0.09,345,192,240
250,SALVI SÁNCHEZ,RAYO VALLECANO,0,1,0,239,0,0,528,10,12
66,SERGIO CAMELLO,RAYO VALLECANO,3,25,0.12,137,1,0.04,318,220,288
250,STOLE DIMITRIEVSKI,RAYO VALLECANO,0,30,0,239,0,0,98,464,844
95,TIAGO MANUEL DIAS CORREIA,RAYO VALLECANO,2,16,0.13,239,0,0,479,36,52
145,UNAI LÓPEZ,RAYO VALLECANO,1,27,0.04,74,2,0.07,52,885,1051
27,ÁLVARO GARCÍA,RAYO VALLECANO,6,26,0.23,137,1,0.04,199,381,564
250,ÓSCAR TREJO,RAYO VALLECANO,0,24,0,239,0,0,215,442,527
145,ÓSCAR VALENTÍN,RAYO VALLECANO,1,27,0.04,239,0,0,55,834,1032
250,AGUSTÍN MARCHESÍN,RC CELTA,0,0,0,239,0,0,566,0,0
145,CARL STARFELT,RC CELTA,1,23,0.04,239,0,0,103,733,840
145,CARLES PÉREZ,RC CELTA,1,11,0.09,239,0,0,396,123,149
250,CARLOS DOMÍNGUEZ,RC CELTA,0,16,0,239,0,0,202,433,558
250,CARLOS DOTOR,RC CELTA,0,16,0,239,0,0,302,273,324
250,COKE CARRILLO,RC CELTA,0,0,0,239,0,0,566,0,0
250,DAMIÁN RODRÍGUEZ,RC CELTA,0,1,0,239,0,0,524,13,14
250,FRAN BELTRÁN,RC CELTA,0,25,0,239,0,0,68,811,947
250,FRANCO CERVI,RC CELTA,0,14,0,239,0,0,357,175,209
250,GABRI VEIGA,RC CELTA,0,1,0,239,0,0,553,3,4
250,GONÇALO MENDES PACIÊNCIA,RC CELTA,0,0,0,239,0,0,566,0,0
250,HUGO SOTELO,RC CELTA,0,13,0,239,0,0,278,344,375
250,HUGO ÁLVAREZ,RC CELTA,0,5,0,239,0,0,406,121,134
38,IAGO ASPAS,RC CELTA,5,27,0.19,10,6,0.22,99,662,841
250,IVÁN VILLAR,RC CELTA,0,10,0,239,0,0,353,121,223
250,JAVI DOMÍNGUEZ,RC CELTA,0,0,0,239,0,0,566,0,0
250,JAVI RODRÍGUEZ,RC CELTA,0,0,0,239,0,0,566,0,0
250,JAVIER MANQUILLO,RC CELTA,0,6,0,137,1,0.17,389,125,164
250,JAÍLSON MARQUES SIQUEIRA,RC CELTA,0,8,0,137,1,0.13,398,106,143
95,JONATHAN BAMBA,RC CELTA,2,22,0.09,74,2,0.09,190,482,602
250,JOSEPH AIDOO,RC CELTA,0,6,0,239,0,0,371,142,181
12,JØRGEN STRAND LARSEN,RC CELTA,10,30,0.33,74,2,0.07,228,335,482
250,KEVIN VÁZQUEZ,RC CELTA,0,11,0,239,0,0,336,184,252
145,LUCA DE LA TORRE,RC CELTA,1,26,0.04,26,4,0.15,161,550,665
250,MANU SÁNCHEZ,RC CELTA,0,24,0,14,5,0.21,191,458,598
250,MIGUEL RODRÍGUEZ,RC CELTA,0,11,0,239,0,0,474,46,59
250,MIHAILO RISTIC,RC CELTA,0,11,0,239,0,0,290,258,351
250,RAÚL GARCÍA,RC CELTA,0,0,0,239,0,0,566,0,0
250,RENATO TAPIA,RC CELTA,0,19,0,239,0,0,163,503,660
145,TADEO ALLENDE,RC CELTA,1,6,0.17,239,0,0,466,41,65
47,TASOS DOUVIKAS,RC CELTA,4,25,0.16,239,0,0,412,80,128
145,UNAI NÚÑEZ,RC CELTA,1,29,0.03,239,0,0,18,1156,1469
250,VICENTE GUAITA,RC CELTA,0,21,0,239,0,0,218,320,522
66,WILLIOT SWEDBERG,RC CELTA,3,10,0.3,239,0,0,501,24,33
95,ÓSCAR MINGUEZA,RC CELTA,2,30,0.07,74,2,0.07,43,874,1099
38,ABDÓN PRATS,RCD MALLORCA,5,26,0.19,137,1,0.04,363,113,195
250,ALEJANDRO QUEVEDO,RCD MALLORCA,0,0,0,239,0,0,566,0,0
250,AMATH NDIAYE,RCD MALLORCA,0,15,0,239,0,0,427,73,104
250,ANTONIO LATORRE GRUESO,RCD MALLORCA,0,23,0,137,1,0.04,255,332,433
66,ANTONIO RAÍLLO,RCD MALLORCA,3,18,0.17,239,0,0,148,590,696
66,ANTONIO SÁNCHEZ,RCD MALLORCA,3,23,0.13,137,1,0.04,265,290,401
95,CYLE LARIN,RCD MALLORCA,2,28,0.07,74,2,0.07,346,157,239
95,DANI RODRÍGUEZ,RCD MALLORCA,2,28,0.07,26,4,0.14,185,471,617
250,DANIEL LUNA,RCD MALLORCA,0,0,0,239,0,0,566,0,0
250,DAVID LÓPEZ,RCD MALLORCA,0,0,0,239,0,0,566,0,0
250,DOMINIK GREIF,RCD MALLORCA,0,1,0,239,0,0,507,21,29
250,GIOVANNI GONZÁLEZ,RCD MALLORCA,0,28,0,137,1,0.04,118,592,782
250,IVÁN CUÉLLAR,RCD MALLORCA,0,0,0,239,0,0,566,0,0
250,JAUME COSTA,RCD MALLORCA,0,25,0,239,0,0,236,356,471
145,JAVI LLABRÉS,RCD MALLORCA,1,14,0.07,239,0,0,479,40,52
145,JOSÉ MANUEL ARIAS COPETE,RCD MALLORCA,1,15,0.07,239,0,0,252,339,439
250,MANU MORLANES,RCD MALLORCA,0,27,0,137,1,0.04,194,495,592
250,MARCOS FERNÁNDEZ,RCD MALLORCA,0,0,0,239,0,0,566,0,0
250,MARTIN VALJENT,RCD MALLORCA,0,22,0,239,0,0,136,586,730
95,MATIJA NASTASIC,RCD MALLORCA,2,22,0.09,239,0,0,123,609,763
250,MIGUEL MARTÍN GARCÍA,RCD MALLORCA,0,0,0,239,0,0,566,0,0
145,NACHO VIDAL,RCD MALLORCA,1,12,0.08,239,0,0,411,97,131
250,NEMANJA RADONJIC,RCD MALLORCA,0,5,0,239,0,0,487,30,44
250,OMAR MASCARELL,RCD MALLORCA,0,21,0,239,0,0,198,465,571
250,PABLO MAFFEO,RCD MALLORCA,0,17,0,74,2,0.12,304,211,322
250,PAU MASCARÓ,RCD MALLORCA,0,0,0,239,0,0,566,0,0
250,PERE GARCÍA,RCD MALLORCA,0,0,0,239,0,0,566,0,0
250,PREDRAG RAJKOVIC,RCD MALLORCA,0,29,0,239,0,0,81,505,914
250,RUBÉN QUINTANILLA,RCD MALLORCA,0,0,0,239,0,0,566,0,0
145,SAMUEL DE ALMEIDA COSTA,RCD MALLORCA,1,28,0.04,137,1,0.04,93,670,869
250,SERGI DARDER,RCD MALLORCA,0,28,0,26,4,0.14,171,504,641
250,SIEBE VAN DER HEYDEN,RCD MALLORCA,0,6,0,239,0,0,435,62,92
38,VEDAT MURIQI,RCD MALLORCA,5,22,0.23,74,2,0.09,227,312,499
250,YUZÚN LEY,RCD MALLORCA,0,0,0,239,0,0,566,0,0
145,ABDE EZZALZOULI,REAL BETIS,1,22,0.05,239,0,0,326,200,272
250,ABNER VINÍCIUS DA SILVA SANTOS,REAL BETIS,0,18,0,239,0,0,211,438,541
95,AITOR RUIBAL,REAL BETIS,2,16,0.13,137,1,0.06,253,346,436
250,ANDRÉS GUARDADO,REAL BETIS,0,12,0,239,0,0,320,247,284
95,ASSANE DIAO,REAL BETIS,2,18,0.11,239,0,0,335,198,254
47,AYOZE PÉREZ,REAL BETIS,4,23,0.17,137,1,0.04,235,367,472
250,BORJA IGLESIAS,REAL BETIS,0,11,0,137,1,0.09,429,83,100
250,CHADI RIAD,REAL BETIS,0,19,0,239,0,0,103,744,840
95,CHIMY ÁVILA,REAL BETIS,2,23,0.09,46,3,0.13,286,256,357
250,CLAUDIO BRAVO,REAL BETIS,0,7,0,239,0,0,360,156,199
250,CÉDRIC BAKAMBU,REAL BETIS,0,1,0,239,0,0,547,4,5
250,DANIEL PÉREZ GUERRERO,REAL BETIS,0,0,0,239,0,0,566,0,0
250,ENRIQUE FERNÁNDEZ,REAL BETIS,0,0,0,239,0,0,566,0,0
250,FRANCISCO BARBOSA VIEITES,REAL BETIS,0,3,0,239,0,0,464,39,67
27,FRANCISCO ROMÁN ALARCÓN SUÁREZ,REAL BETIS,6,24,0.25,46,3,0.13,41,955,1110
145,GERMÁN PEZZELLA,REAL BETIS,1,28,0.04,239,0,0,28,1122,1307
95,GUIDO RODRÍGUEZ,REAL BETIS,2,18,0.11,239,0,0,124,662,762
250,GUILHERME SOUSA CARVALHO FERNANDES,REAL BETIS,0,0,0,239,0,0,566,0,0
250,HÉCTOR BELLERÍN,REAL BETIS,0,19,0,239,0,0,157,536,676
145,JOHNNY CARDOSO,REAL BETIS,1,9,0.11,74,2,0.22,300,278,332
250,JUAN CRUZ,REAL BETIS,0,5,0,239,0,0,517,15,20
250,JUAN MIRANDA,REAL BETIS,0,18,0,137,1,0.06,182,521,627
250,LUIZ FELIPE RAMOS MARCHI,REAL BETIS,0,4,0,239,0,0,385,151,167
250,LUIZ HENRIQUE ANDRÉ ROSA DA SILVA,REAL BETIS,0,14,0,46,3,0.21,368,138,185
250,MARC BARTRA,REAL BETIS,0,3,0,239,0,0,420,101,116
95,MARC ROCA,REAL BETIS,2,24,0.08,74,2,0.08,47,915,1080
250,NABIL FEKIR,REAL BETIS,0,12,0,74,2,0.17,287,301,354
250,NOBEL MENDY,REAL BETIS,0,0,0,239,0,0,566,0,0
250,PABLO BUSTO,REAL BETIS,0,2,0,239,0,0,515,16,21
145,PABLO FORNALS,REAL BETIS,1,8,0.13,74,2,0.25,285,276,359
250,PAUL AKOUOKOU,REAL BETIS,0,2,0,239,0,0,519,16,17
250,RICARDO VISUS,REAL BETIS,0,2,0,239,0,0,499,26,34
250,RODRIGO SÁNCHEZ RODRÍGUEZ,REAL BETIS,0,22,0,239,0,0,258,356,422
250,RUI TIAGO DANTAS DA SILVA,REAL BETIS,0,21,0,239,0,0,168,430,645
145,SERGI ALTIMIRA,REAL BETIS,1,12,0.08,239,0,0,329,243,268
250,SOKRATIS PAPASTATHOPOULOS,REAL BETIS,0,10,0,239,0,0,280,325,366
145,WILLIAM SILVA DE CARVALHO,REAL BETIS,1,17,0.06,46,3,0.18,225,443,502
12,WILLIAN JOSÉ DA SILVA,REAL BETIS,10,26,0.38,46,3,0.12,255,342,433
250,XAVIER PLEGUEZUELO,REAL BETIS,0,0,0,239,0,0,566,0,0
250,YOUSSOUF SABALY,REAL BETIS,0,6,0,137,1,0.17,320,248,284
250,ANDRIY LUNIN,REAL MADRID,0,18,0,239,0,0,232,405,474
145,ANTONIO RÜDIGER,REAL MADRID,1,26,0.04,239,0,0,16,1355,1506
145,ARDA GÜLER,REAL MADRID,1,5,0.2,239,0,0,502,28,31
95,AURÉLIEN TCHOUAMÉNI,REAL MADRID,2,24,0.08,137,1,0.04,27,1212,1315
38,BRAHIM DÍAZ,REAL MADRID,5,25,0.2,46,3,0.12,213,466,538
47,DANI CARVAJAL,REAL MADRID,4,23,0.17,74,2,0.09,49,931,1063
250,DANI CEBALLOS,REAL MADRID,0,14,0,137,1,0.07,362,173,196
250,DAVID ALABA,REAL MADRID,0,14,0,137,1,0.07,90,803,878
250,DIEGO PIÑEIRO,REAL MADRID,0,0,0,239,0,0,566,0,0
250,EDGAR PUJOL,REAL MADRID,0,0,0,239,0,0,566,0,0
250,EDUARDO CAMAVINGA,REAL MADRID,0,23,0,137,1,0.04,66,875,962
145,FEDERICO VALVERDE,REAL MADRID,1,30,0.03,4,7,0.23,8,1617,1775
250,FERLAND MENDY,REAL MADRID,0,20,0,239,0,0,64,916,972
250,FRAN GARCÍA,REAL MADRID,0,20,0,26,4,0.2,191,531,598
250,FRANCISCO JAVIER GONZÁLEZ PÉREZ,REAL MADRID,0,0,0,239,0,0,566,0,0
250,GONZALO GARCÍA,REAL MADRID,0,2,0,239,0,0,538,4,7
250,JACOBO RAMÓN,REAL MADRID,0,0,0,239,0,0,566,0,0
250,JOSÉ IGNACIO FERNÁNDEZ IGLESIAS,REAL MADRID,0,22,0,239,0,0,83,835,905
20,JOSÉ LUIS SANMARTÍN MATO,REAL MADRID,8,28,0.29,74,2,0.07,327,204,271
1,JUDE BELLINGHAM,REAL MADRID,16,23,0.7,26,4,0.17,36,1093,1224
250,KEPA ARRIZABALAGA REVUELTA,REAL MADRID,0,12,0,239,0,0,292,289,347
250,LUCAS CAÑIZARES,REAL MADRID,0,0,0,239,0,0,566,0,0
145,LUCAS VÁZQUEZ,REAL MADRID,1,23,0.04,46,3,0.13,155,612,686
95,LUKA MODRIC,REAL MADRID,2,25,0.08,26,4,0.16,54,943,1042
250,MARIO DE LUIS,REAL MADRID,0,0,0,239,0,0,566,0,0
250,MARIO MARTÍN,REAL MADRID,0,0,0,239,0,0,566,0,0
250,NICO PAZ,REAL MADRID,0,4,0,239,0,0,512,18,23
12,RODRYGO SILVA DE GOES,REAL MADRID,10,30,0.33,14,5,0.17,99,753,841
250,THÉO ZIDANE,REAL MADRID,0,0,0,239,0,0,566,0,0
145,TONI KROOS,REAL MADRID,1,29,0.03,4,7,0.24,3,1959,2074
250,VINÍCIUS AUGUSTO TOBIAS DA SILVA,REAL MADRID,0,0,0,239,0,0,566,0,0
9,VINÍCIUS JOSÉ PAIXÃO DE OLIVEIRA JÚNIOR,REAL MADRID,12,20,0.6,26,4,0.2,226,391,500
250,ÁLVARO CARRILLO,REAL MADRID,0,0,0,239,0,0,566,0,0
250,ÁLVARO RODRÍGUEZ,REAL MADRID,0,1,0,239,0,0,566,0,0
250,ÉDER GABRIEL MILITÃO,REAL MADRID,0,2,0,239,0,0,497,35,36
250,AIHEN MUÑOZ,REAL SOCIEDAD,0,21,0,74,2,0.1,223,391,506
250,AITOR FRAGA,REAL SOCIEDAD,0,0,0,239,0,0,566,0,0
250,ALBERTO DADIE,REAL SOCIEDAD,0,1,0,239,0,0,543,3,6
66,ANDER BARRENETXEA,REAL SOCIEDAD,3,21,0.14,137,1,0.05,274,270,380
95,ANDRÉ MIGUEL VALENTE DA SILVA,REAL SOCIEDAD,2,14,0.14,239,0,0,413,100,122
250,ARITZ ELUSTONDO,REAL SOCIEDAD,0,9,0,137,1,0.11,333,227,257
145,ARSEN ZAKHARYAN,REAL SOCIEDAD,1,21,0.05,74,2,0.1,306,237,319
250,BEÑAT TURRIENTES,REAL SOCIEDAD,0,21,0,137,1,0.05,270,329,388
47,BRAIS MÉNDEZ,REAL SOCIEDAD,4,27,0.15,14,5,0.19,69,759,946
250,BRYAN FIABEMA,REAL SOCIEDAD,0,0,0,239,0,0,566,0,0
95,CARLOS FERNÁNDEZ,REAL SOCIEDAD,2,10,0.2,137,1,0.1,448,44,82
250,GAIZKA AYESA,REAL SOCIEDAD,0,0,0,239,0,0,566,0,0
250,HAMARI TRAORÉ,REAL SOCIEDAD,0,25,0,74,2,0.08,57,874,1030
250,IGOR ZUBELDIA,REAL SOCIEDAD,0,28,0,74,2,0.07,10,1372,1624
250,IÑAKI RUPÉREZ,REAL SOCIEDAD,0,0,0,239,0,0,566,0,0
250,JAVI GALÁN,REAL SOCIEDAD,0,14,0,239,0,0,284,297,363
250,JON ARAMBURU,REAL SOCIEDAD,0,6,0,239,0,0,357,175,209
250,JON MAGUNAZELAIA,REAL SOCIEDAD,0,5,0,239,0,0,489,30,42
250,JON MARTÍN,REAL SOCIEDAD,0,0,0,239,0,0,566,0,0
250,JON OLASAGASTI,REAL SOCIEDAD,0,12,0,239,0,0,393,116,153
145,JON PACHECO,REAL SOCIEDAD,1,16,0.06,137,1,0.06,132,646,744
250,KIERAN TIERNEY,REAL SOCIEDAD,0,15,0,74,2,0.13,203,441,557
47,MARTÍN ZUBIMENDI,REAL SOCIEDAD,4,29,0.14,137,1,0.03,21,1230,1426
47,MIKEL MERINO,REAL SOCIEDAD,4,25,0.16,46,3,0.12,56,790,1031
20,MIKEL OYARZABAL,REAL SOCIEDAD,8,25,0.32,74,2,0.08,276,292,378
250,MOHAMED-ALI CHO,REAL SOCIEDAD,0,11,0,239,0,0,477,37,55
250,PABLO MARÍN,REAL SOCIEDAD,0,0,0,239,0,0,566,0,0
95,ROBIN LE NORMAND,REAL SOCIEDAD,2,23,0.09,239,0,0,23,1215,1369
250,SHERALDO BECKER,REAL SOCIEDAD,0,7,0,239,0,0,445,61,83
24,TAKEFUSA KUBO,REAL SOCIEDAD,7,23,0.3,46,3,0.13,204,449,556
66,UMAR SADIQ,REAL SOCIEDAD,3,25,0.12,137,1,0.04,375,128,178
250,UNAI MARRERO,REAL SOCIEDAD,0,2,0,239,0,0,492,23,40
250,URKO GONZÁLEZ,REAL SOCIEDAD,0,4,0,239,0,0,442,67,85
250,ÁLEX REMIRO,REAL SOCIEDAD,0,29,0,239,0,0,87,667,882
250,ÁLVARO ODRIOZOLA,REAL SOCIEDAD,0,4,0,239,0,0,487,39,44
250,ADNAN JANUZAJ,SEVILLA FC,0,8,0,239,0,0,453,64,77
145,ADRIÀ PEDROSA,SEVILLA FC,1,26,0.04,26,4,0.15,201,437,560
250,ALBERTO FLORES,SEVILLA FC,0,0,0,239,0,0,566,0,0
250,ALEJANDRO DARÍO GÓMEZ VILLAVERDE,SEVILLA FC,0,0,0,239,0,0,566,0,0
250,ALEJO VÉLIZ,SEVILLA FC,0,3,0,239,0,0,543,4,6
250,BOUBAKARY SOUMARÉ,SEVILLA FC,0,21,0,239,0,0,78,835,926
250,DARÍO BENAVIDES,SEVILLA FC,0,0,0,239,0,0,566,0,0
250,DIEGO HORMIGO,SEVILLA FC,0,1,0,239,0,0,532,6,9
145,DJIBRIL SOW,SEVILLA FC,1,24,0.04,137,1,0.04,158,579,675
66,DODI LUKÉBAKIO,SEVILLA FC,3,15,0.2,137,1,0.07,342,203,244
250,FEDERICO GATTONI,SEVILLA FC,0,2,0,239,0,0,533,6,8
250,FERNANDO FRANCISCO REGES,SEVILLA FC,0,8,0,239,0,0,347,206,236
250,GONZALO MONTIEL,SEVILLA FC,0,0,0,239,0,0,566,0,0
250,HANNIBAL MEJBRI,SEVILLA FC,0,4,0,239,0,0,494,33,39
250,IBRAHIMA SOW,SEVILLA FC,0,0,0,239,0,0,566,0,0
66,ISAAC ROMERO,SEVILLA FC,3,11,0.27,26,4,0.36,377,132,176
95,IVAN RAKITIC,SEVILLA FC,2,18,0.11,137,1,0.06,73,762,936
250,JESÚS CORONA,SEVILLA FC,0,2,0,239,0,0,528,9,12
145,JESÚS JOAQUÍN FERNÁNDEZ SÁENZ DE LA TORRE,SEVILLA FC,1,24,0.04,46,3,0.13,176,540,635
250,JESÚS NAVAS,SEVILLA FC,0,22,0,239,0,0,133,563,733
250,JOAN JORDÁN,SEVILLA FC,0,6,0,239,0,0,348,199,227
250,JUANLU SÁNCHEZ,SEVILLA FC,0,21,0,74,2,0.1,238,389,469
95,KIKE SALAS,SEVILLA FC,2,16,0.13,239,0,0,162,517,664
250,LOÏC BADÉ,SEVILLA FC,0,21,0,137,1,0.05,74,759,934
47,LUCAS OCAMPOS,SEVILLA FC,4,27,0.15,74,2,0.07,135,525,731
250,LUCIEN AGOUMÉ,SEVILLA FC,0,4,0,239,0,0,440,68,88
250,LUIS DASILVA RODRÍGUEZ,SEVILLA FC,0,0,0,239,0,0,566,0,0
250,MANU BUENO,SEVILLA FC,0,2,0,239,0,0,522,13,15
250,MARCOS ACUÑA,SEVILLA FC,0,15,0,137,1,0.07,242,369,453
250,MARCOS DO NASCIMENTO TEIXEIRA,SEVILLA FC,0,6,0,239,0,0,371,164,181
250,MARIANO DÍAZ,SEVILLA FC,0,6,0,239,0,0,489,28,42
250,MARKO DMITROVIC,SEVILLA FC,0,13,0,239,0,0,303,222,323
250,MATÍAS ÁRBOL,SEVILLA FC,0,0,0,239,0,0,566,0,0
250,MIGUEL JIMÉNEZ CAPITAS,SEVILLA FC,0,0,0,239,0,0,566,0,0
145,NEMANJA GUDELJ,SEVILLA FC,1,19,0.05,239,0,0,77,802,930
95,RAFA MIR,SEVILLA FC,2,15,0.13,239,0,0,442,60,85
250,RAFAEL ROMERO,SEVILLA FC,0,0,0,239,0,0,566,0,0
66,SERGIO RAMOS,SEVILLA FC,3,20,0.15,239,0,0,48,948,1074
250,STANIS IDUMBO MUZAMBO,SEVILLA FC,0,0,0,239,0,0,566,0,0
250,TANGUY NIANZOU,SEVILLA FC,0,6,0,239,0,0,416,105,119
250,XAVI SINTES,SEVILLA FC,0,0,0,239,0,0,566,0,0
250,YASSINE BOUNOU,SEVILLA FC,0,1,0,239,0,0,508,16,27
12,YOUSSEF EN-NESYRI,SEVILLA FC,10,25,0.4,137,1,0.04,354,140,221
95,ÉRIK LAMELA,SEVILLA FC,2,10,0.2,239,0,0,413,106,122
250,ÓLIVER TORRES,SEVILLA FC,0,25,0,137,1,0.04,131,621,747
250,ØRJAN NYLAND,SEVILLA FC,0,16,0,239,0,0,254,229,435
145,ADRI EMBARBA,UD ALMERÍA,1,28,0.04,239,0,0,197,426,574
250,ALEKSANDAR RADOVANOVIC,UD ALMERÍA,0,7,0,239,0,0,382,159,170
250,ANTHONY LOZANO,UD ALMERÍA,0,12,0,239,0,0,445,58,83
250,ARNAU PUIGMAL,UD ALMERÍA,0,11,0,239,0,0,459,57,74
250,ARVIN APPIAH,UD ALMERÍA,0,0,0,239,0,0,566,0,0
250,BRUNO ALBERTO LANGA,UD ALMERÍA,0,5,0,239,0,0,423,77,110
250,BRUNO IRIBARNE,UD ALMERÍA,0,0,0,239,0,0,566,0,0
250,CÉSAR MONTES,UD ALMERÍA,0,16,0,239,0,0,134,559,732
250,DIEGO MARIÑO,UD ALMERÍA,0,1,0,239,0,0,515,17,21
250,DION LOPY,UD ALMERÍA,0,27,0,239,0,0,121,653,777
95,EDGAR GONZÁLEZ,UD ALMERÍA,2,25,0.08,239,0,0,44,932,1092
250,FERNANDO MARTÍNEZ,UD ALMERÍA,0,2,0,239,0,0,461,40,69
250,GONZALO MELERO,UD ALMERÍA,0,23,0,137,1,0.04,275,314,379
250,GUILHERME BORGES GUEDES,UD ALMERÍA,0,0,0,239,0,0,566,0,0
250,HOUBOULANG MENDES,UD ALMERÍA,0,7,0,239,0,0,419,87,118
250,IBRAHIMA KONÉ,UD ALMERÍA,0,8,0,239,0,0,483,33,49
250,IDDRISU BABA,UD ALMERÍA,0,23,0,239,0,0,173,533,638
95,JONATHAN VIERA,UD ALMERÍA,2,15,0.13,46,3,0.2,145,629,703
250,JUAN BRANDÁRIZ MOVILLA,UD ALMERÍA,0,23,0,137,1,0.04,109,704,812
145,KAIKY FERNANDES MELO,UD ALMERÍA,1,8,0.13,239,0,0,331,216,261
66,LARGIE RAMAZANI,UD ALMERÍA,3,27,0.11,14,5,0.19,317,185,289
38,LEONARDO MICALI CARRILHO BAPTISTÃO,UD ALMERÍA,5,24,0.21,239,0,0,291,220,348
250,LUCAS ROBERTONE,UD ALMERÍA,0,26,0,14,5,0.19,67,787,960
47,LUIS SUÁREZ,UD ALMERÍA,4,10,0.4,239,0,0,398,112,143
95,LUKA ROMERO,UD ALMERÍA,2,6,0.33,239,0,0,456,70,76
250,LUÍS MANUEL ARANTES MAXIMIANO,UD ALMERÍA,0,27,0,239,0,0,84,550,904
250,LÁZARO VINÍCIUS MARQUES,UD ALMERÍA,0,14,0,239,0,0,444,65,84
145,MARC PUBILL,UD ALMERÍA,1,16,0.06,137,1,0.06,233,362,473
250,MARCIANO SANCA TCHAMI,UD ALMERÍA,0,6,0,239,0,0,512,14,23
250,MARCOS PEÑA,UD ALMERÍA,0,2,0,239,0,0,481,44,50
145,MARKO MILOVANOVIC,UD ALMERÍA,1,11,0.09,239,0,0,464,43,67
250,MARTIN SVIDERSKY,UD ALMERÍA,0,0,0,239,0,0,566,0,0
250,PACO SANZ,UD ALMERÍA,0,0,0,239,0,0,566,0,0
250,RACHAD FETTAL,UD ALMERÍA,0,1,0,239,0,0,547,4,5
95,SERGIO AKIEME,UD ALMERÍA,2,19,0.11,239,0,0,193,474,594
27,SERGIO ARRIBAS,UD ALMERÍA,6,29,0.21,46,3,0.1,207,453,550
250,SRDJAN BABIC,UD ALMERÍA,0,1,0,239,0,0,470,58,62
250,ÁLEX CENTELLES,UD ALMERÍA,0,10,0,137,1,0.1,305,237,321
