Pass_Position,NAME,TEAM,Completed Pass,Total Pass
464,FRANCISCO BARBOSA VIEITES,REAL BETIS,39,67
466,RADAMEL FALCAO,RAYO VALLECANO,51,65
466,TADEO ALLENDE,RC CELTA,41,65
468,RAÚL GARCÍA,ATHLETIC CLUB,36,64
469,BRIAN OCAMPO,CÁDIZ CF,42,63
470,SRDJAN BABIC,UD ALMERÍA,58,62
471,MALCOM ABDULAI ARES DJALÓ,ATHLETIC CLUB,51,61
472,OMENUKE MFULU,UD LAS PALMAS,53,60
472,ARTHUR VERMEEREN,ATLÉTICO DE MADRID,48,60
474,MIGUEL RODRÍGUEZ,RC CELTA,46,59
475,KAMIL JÓZWIAK,GRANADA CF,35,58
476,FABRIZIO ANGILERI,GETAFE CF,35,56
477,MOHAMED-ALI CHO,REAL SOCIEDAD,37,55
478,ERIC CURBELO,UD LAS PALMAS,51,53
479,JAVI LLABRÉS,RCD MALLORCA,40,52
479,TIAGO MANUEL DIAS CORREIA,RAYO VALLECANO,36,52
481,FEDE SAN EMETERIO,CÁDIZ CF,42,50
481,MARCOS PEÑA,UD ALMERÍA,44,50
483,IBRAHIMA KONÉ,UD ALMERÍA,33,49
484,VITOR HUGO ROQUE FERREIRA,FC BARCELONA,35,48
485,MATÍAS AREZO,GRANADA CF,29,46
485,PETER GONZÁLEZ,VALENCIA CF,30,46
487,ÁLVARO ODRIOZOLA,REAL SOCIEDAD,39,44
487,NEMANJA RADONJIC,RCD MALLORCA,30,44
489,MARIANO DÍAZ,SEVILLA FC,28,42
489,JON MAGUNAZELAIA,REAL SOCIEDAD,30,42
489,ANTAL YAAKOBISHVILI,GIRONA FC,37,42
492,UNAI MARRERO,REAL SOCIEDAD,23,40
492,MIKEL JAUREGIZAR,ATHLETIC CLUB,29,40
494,HANNIBAL MEJBRI,SEVILLA FC,33,39
494,FAITOUT MAOUASSA,GRANADA CF,24,39
496,FAMARA DIÉDHIOU,GRANADA CF,19,38
497,ÉDER GABRIEL MILITÃO,REAL MADRID,35,36
498,THEO CORBEANU,GRANADA CF,27,35
499,RICARDO VISUS,REAL BETIS,26,34
499,ENES ÜNAL,GETAFE CF,23,34
501,WILLIOT SWEDBERG,RC CELTA,24,33
502,AARÓN ESCANDELL,UD LAS PALMAS,16,31
502,PEPE REINA,VILLARREAL CF,23,31
502,ARDA GÜLER,REAL MADRID,28,31
505,PABLO GOZÁLBEZ,VALENCIA CF,16,30
505,JULEN AGIRREZABALA,ATHLETIC CLUB,19,30
507,DOMINIK GREIF,RCD MALLORCA,21,29
508,YASSINE BOUNOU,SEVILLA FC,16,27
508,ANSU FATI,FC BARCELONA,23,27
510,GIULIANO SIMEONE,DEPORTIVO ALAVÉS,16,25
510,DIADIÉ SAMASSÉKOU,CÁDIZ CF,24,25
512,NICO PAZ,REAL MADRID,18,23
512,MARCIANO SANCA TCHAMI,UD ALMERÍA,14,23
512,ALBERTO MARÍ,VALENCIA CF,10,23
515,DIEGO MARIÑO,UD ALMERÍA,17,21
515,PABLO BUSTO,REAL BETIS,16,21
517,JOSÉ MARI MARTÍN,CÁDIZ CF,16,20
517,JUAN CRUZ,REAL BETIS,15,20
519,PAUL AKOUOKOU,REAL BETIS,16,17
519,ÁLVARO NEGREDO,CÁDIZ CF,9,17
521,HUGO GONZÁLEZ,VALENCIA CF,13,16
522,MIGUEL DE LA FUENTE,DEPORTIVO ALAVÉS,7,15
522,MANU BUENO,SEVILLA FC,13,15
524,ADRIÀ MIQUEL BOSCH,GRANADA CF,11,14
524,DARKO BRASANAC,CA OSASUNA,9,14
524,DAMIÁN RODRÍGUEZ,RC CELTA,13,14
524,STEFAN LEKOVIC,VILLARREAL CF,12,14
528,SALVI SÁNCHEZ,RAYO VALLECANO,10,12
528,JESÚS CORONA,SEVILLA FC,9,12
528,SHON WEISSMAN,GRANADA CF,9,12
531,JOSÉ POZO,RAYO VALLECANO,11,11
532,DIEGO HORMIGO,SEVILLA FC,6,9
533,FEDERICO GATTONI,SEVILLA FC,6,8
533,BERNARDO ESPINOSA,GIRONA FC,7,8
533,PERU NOLASKOAIN,ATHLETIC CLUB,5,8
533,IBRAHIMA KÉBÉ,GIRONA FC,5,8
533,MARC GUIU,FC BARCELONA,8,8
538,MAMADOU SYLLA,DEPORTIVO ALAVÉS,3,7
538,SANTIAGO GARCÍA,GETAFE CF,6,7
538,GONZALO GARCÍA,REAL MADRID,4,7
538,FABIO GONZÁLEZ,UD LAS PALMAS,7,7
538,JOAQUÍN PANICHELLI,DEPORTIVO ALAVÉS,3,7
543,ALBERTO PEREA,GRANADA CF,6,6
543,TOMÁS MENDES,DEPORTIVO ALAVÉS,4,6
543,ALBERTO DADIE,REAL SOCIEDAD,3,6
543,ALEJO VÉLIZ,SEVILLA FC,4,6
547,GORKA RIVERA,GETAFE CF,4,5
547,SILVI CLUA,GIRONA FC,5,5
547,CÉSAR TÁRREGA,VALENCIA CF,5,5
547,JORGE PASCUAL,VILLARREAL CF,4,5
547,RACHAD FETTAL,UD ALMERÍA,4,5
547,CÉDRIC BAKAMBU,REAL BETIS,4,5
553,GABRI VEIGA,RC CELTA,3,4
553,MARIO DOMÍNGUEZ,VALENCIA CF,4,4
553,MARC CASADÓ,FC BARCELONA,4,4
553,IÑAKI GONZÁLEZ,UD LAS PALMAS,4,4
553,UNAI ROPERO,DEPORTIVO ALAVÉS,4,4
559,MILUTIN OSMAJIC,CÁDIZ CF,2,3
559,ALBERTO SORO,GRANADA CF,3,3
559,SALIM EL JEBARI,ATLÉTICO DE MADRID,3,3
559,IÑIGO ARGUIBIDE,CA OSASUNA,0,3
563,DIEGO MÉNDEZ,RAYO VALLECANO,2,2
563,JASTIN GARCÍA,GIRONA FC,1,2
563,ETTA EYONG,CÁDIZ CF,2,2
566,GUILHERME SOUSA CARVALHO FERNANDES,REAL BETIS,0,0
566,DANIEL PÉREZ GUERRERO,REAL BETIS,0,0
566,DIEGO KOCHEN,FC BARCELONA,0,0
566,ANDER ASTRALAGA,FC BARCELONA,0,0
566,RUBÉN IRANZO,VALENCIA CF,0,0
566,MARTÍN TEJÓN,VALENCIA CF,0,0
566,JAUME DOMÈNECH,VALENCIA CF,0,0
566,CRISTIAN RIVERO,VALENCIA CF,0,0
566,GONÇALO MENDES PACIÊNCIA,RC CELTA,0,0
566,RAÚL GARCÍA,RC CELTA,0,0
566,AGUSTÍN MARCHESÍN,RC CELTA,0,0
566,COKE CARRILLO,RC CELTA,0,0
566,ARVIN APPIAH,UD ALMERÍA,0,0
566,GUILHERME BORGES GUEDES,UD ALMERÍA,0,0
566,BRUNO IRIBARNE,UD ALMERÍA,0,0
566,RUBÉN QUINTANILLA,RCD MALLORCA,0,0
566,DANIEL LUNA,RCD MALLORCA,0,0
566,PERE GARCÍA,RCD MALLORCA,0,0
566,IVÁN CUÉLLAR,RCD MALLORCA,0,0
566,UNAI EGILUZ,ATHLETIC CLUB,0,0
566,JAVIER MARTÓN,ATHLETIC CLUB,0,0
566,PABLO MUÑOZ,RAYO VALLECANO,0,0
566,JORGE MORENO,RAYO VALLECANO,0,0
566,DANI CÁRDENAS,RAYO VALLECANO,0,0
566,MARTÍN PASCUAL,RAYO VALLECANO,0,0
566,MIGUEL ÁNGEL MORRO,RAYO VALLECANO,0,0
566,ALEJANDRO GONZÁLEZ GORRIN,UD LAS PALMAS,0,0
566,SANTIAGO BUENO,GIRONA FC,0,0
566,MANU VALLEJO,GIRONA FC,0,0
566,IKER ALMENA,GIRONA FC,0,0
566,JUAN CARLOS MARTÍN CORRAL,GIRONA FC,0,0
566,TONI FUIDIAS,GIRONA FC,0,0
566,ANDER SÁNCHEZ,DEPORTIVO ALAVÉS,0,0
566,JOSEDA ÁLVAREZ,DEPORTIVO ALAVÉS,0,0
566,JESÚS OWONO,DEPORTIVO ALAVÉS,0,0
566,SELU DIALLO,DEPORTIVO ALAVÉS,0,0
566,NIKOLA MARAS,DEPORTIVO ALAVÉS,0,0
566,GIORGI GAGUA,DEPORTIVO ALAVÉS,0,0
566,ADRIÁN RODRÍGUEZ,DEPORTIVO ALAVÉS,0,0
566,GAIZKA GARCÍA,DEPORTIVO ALAVÉS,0,0
566,ÁLVARO BASTIDA,CÁDIZ CF,0,0
566,JOSÉ ANTONIO DE LA ROSA,CÁDIZ CF,0,0
566,MARIO GONZÁLEZ,GRANADA CF,0,0
566,ADRI LÓPEZ,GRANADA CF,0,0
566,PABLO MARÍN,REAL SOCIEDAD,0,0
566,AITOR FRAGA,REAL SOCIEDAD,0,0
566,FRANCISCO JAVIER GONZÁLEZ PÉREZ,REAL MADRID,0,0
566,LUCAS CAÑIZARES,REAL MADRID,0,0
566,DIEGO PIÑEIRO,REAL MADRID,0,0
566,MATÍAS ÁRBOL,SEVILLA FC,0,0
566,GONZALO MONTIEL,SEVILLA FC,0,0
566,ALEJANDRO DARÍO GÓMEZ VILLAVERDE,SEVILLA FC,0,0
566,IVO GRBIC,ATLÉTICO DE MADRID,0,0
566,ILIAS KOSTIS,ATLÉTICO DE MADRID,0,0
566,ANTONIO GOMIS,ATLÉTICO DE MADRID,0,0
566,DANIEL CERANTOLA FUZATO,GETAFE CF,0,0
566,JORGE BENITO,GETAFE CF,0,0
566,PABLO VALENCIA,CA OSASUNA,0,0
566,DIMITRIOS STAMATAKIS,CA OSASUNA,0,0
566,JAVI MARTÍNEZ,CA OSASUNA,0,0
566,DAVID LÓPEZ,RCD MALLORCA,0,0
566,UNAI HERNÁNDEZ,FC BARCELONA,0,0
566,ENRIQUE FERNÁNDEZ,REAL BETIS,0,0
566,ALBERTO FLORES,SEVILLA FC,0,0
566,JOHN PATRICK,GETAFE CF,0,0
566,MARCO MORENO,ATLÉTICO DE MADRID,0,0
566,AITOR GISMERA,ATLÉTICO DE MADRID,0,0
566,ADRIÁN NIÑO,ATLÉTICO DE MADRID,0,0
566,MIGUEL MARTÍN GARCÍA,RCD MALLORCA,0,0
566,ÁLVARO CARRILLO,REAL MADRID,0,0
566,BORJA GARCÍA,GIRONA FC,0,0
566,PACO SANZ,UD ALMERÍA,0,0
566,RÚBEN MONTERO,DEPORTIVO ALAVÉS,0,0
566,PAU VICTOR,FC BARCELONA,0,0
566,ÁLVARO KILLANE,UD LAS PALMAS,0,0
566,NABIL ABERDIN,GETAFE CF,0,0
566,FACUNDO ESNÁIDER,GETAFE CF,0,0
566,YUZÚN LEY,RCD MALLORCA,0,0
566,ENEKO ORTIZ,DEPORTIVO ALAVÉS,0,0
566,ÁLEX MORATA,CÁDIZ CF,0,0
566,ARISTIDE NJALLA,CÁDIZ CF,0,0
566,SERGIO MESTRE,ATLÉTICO DE MADRID,0,0
566,JAVI RODRÍGUEZ,RC CELTA,0,0
566,HUGO RINCÓN,ATHLETIC CLUB,0,0
566,VICTOR WEHBI AZNAR USSEN,CÁDIZ CF,0,0
566,EDGAR PUJOL,REAL MADRID,0,0
566,VICTOR PARADA,DEPORTIVO ALAVÉS,0,0
566,ALEIX GARRIDO,FC BARCELONA,0,0
566,ÁRON YAAKOBISHVILI,FC BARCELONA,0,0
566,MARIO MARTÍN,REAL MADRID,0,0
566,ABRAHAM DEL MORAL,VILLARREAL CF,0,0
566,ÁLEX PADILLA,ATHLETIC CLUB,0,0
566,MOUSSA DIAKITÉ,CÁDIZ CF,0,0
566,THÉO ZIDANE,REAL MADRID,0,0
566,MARCO CAMUS,VALENCIA CF,0,0
566,PAU MASCARÓ,RCD MALLORCA,0,0
566,RAFAEL ROMERO,SEVILLA FC,0,0
566,DARÍO BENAVIDES,SEVILLA FC,0,0
566,IBRAHIMA SOW,SEVILLA FC,0,0
566,PAU FERRER BESALDUCH,UD LAS PALMAS,0,0
566,GAIZKA AYESA,REAL SOCIEDAD,0,0
566,BRYAN FIABEMA,REAL SOCIEDAD,0,0
566,AINGERU OLABARRIETA,ATHLETIC CLUB,0,0
566,RAYANE BELAID,ATLÉTICO DE MADRID,0,0
566,POL TRISTÁN,GRANADA CF,0,0
566,JAVI DOMÍNGUEZ,RC CELTA,0,0
566,FRAN ÁRBOL,GRANADA CF,0,0
566,MARIO DE LUIS,REAL MADRID,0,0
566,VINÍCIUS AUGUSTO TOBIAS DA SILVA,REAL MADRID,0,0
566,MARCOS FERNÁNDEZ,RCD MALLORCA,0,0
566,EGOITZ MUÑOZ,DEPORTIVO ALAVÉS,0,0
566,MIGUEL JIMÉNEZ CAPITAS,SEVILLA FC,0,0
566,LUIS DASILVA RODRÍGUEZ,SEVILLA FC,0,0
566,PAU PRIM,FC BARCELONA,0,0
566,NOBEL MENDY,REAL BETIS,0,0
566,DAVID OTORBI,VALENCIA CF,0,0
566,MARTIN SVIDERSKY,UD ALMERÍA,0,0
566,ALEJANDRO QUEVEDO,RCD MALLORCA,0,0
566,XAVIER PLEGUEZUELO,REAL BETIS,0,0
566,ERIC MONJONELL,GIRONA FC,0,0
566,IKER ÁLVAREZ,VILLARREAL CF,0,0
566,JON MARTÍN,REAL SOCIEDAD,0,0
566,IÑAKI RUPÉREZ,REAL SOCIEDAD,0,0
566,RICARD ARTERO,GIRONA FC,0,0
566,DJORDJIJE MEDENICA,GETAFE CF,0,0
566,LASSINA SANGARE,GRANADA CF,0,0
566,PABLO SÁENZ,GRANADA CF,0,0
566,HORATIU MOLDOVAN,ATLÉTICO DE MADRID,0,0
566,MARC MARTÍNEZ,GRANADA CF,0,0
566,EGHOSA BELLO,GRANADA CF,0,0
566,STANIS IDUMBO MUZAMBO,SEVILLA FC,0,0
566,JACOBO RAMÓN,REAL MADRID,0,0
566,ALEJANDRO HERRANZ,GETAFE CF,0,0
566,XAVI SINTES,SEVILLA FC,0,0
566,MAX SVENSSON,CA OSASUNA,0,0
566,ÁLVARO RODRÍGUEZ,REAL MADRID,0,0
566,SERGIO GIMENO,GETAFE CF,0,0
566,DANIEL BUDESCA,VILLARREAL CF,0,0
566,MIKAYIL FAYE,FC BARCELONA,0,0
566,ASIER OSAMBELA,CA OSASUNA,0,0
