Assists_Position,NAME,TEAM,ASSISTS,GAMES,ASSISTS PER MATCH
74,ALEX BERENGUER,ATHLETIC CLUB,2,27,0.07
74,ÍÑIGO LEKUE,ATHLETIC CLUB,2,21,0.1
74,ANDER HERRERA,ATHLETIC CLUB,2,17,0.12
74,JOSÉ LUIS SANMARTÍN MATO,REAL MADRID,2,28,0.07
74,DANI CARVAJAL,REAL MADRID,2,23,0.09
74,JUAN IGLESIAS,GETAFE CF,2,22,0.09
74,DAMIÁN SUÁREZ,GETAFE CF,2,16,0.13
74,ÓSCAR MINGUEZA,RC CELTA,2,30,0.07
74,JØRGEN STRAND LARSEN,RC CELTA,2,30,0.07
74,JONATHAN BAMBA,RC CELTA,2,22,0.09
74,ALFONSO PEDRAZA,VILLARREAL CF,2,15,0.13
74,JOHAN MOJICA,CA OSASUNA,2,22,0.09
74,ANTE BUDIMIR,CA OSASUNA,2,30,0.07
74,ALEJANDRO CATENA,CA OSASUNA,2,23,0.09
74,RUBÉN GARCÍA,CA OSASUNA,2,23,0.09
74,ANDREAS CHRISTENSEN,FC BARCELONA,2,22,0.09
74,PEDRO GONZÁLEZ LÓPEZ,FC BARCELONA,2,16,0.13
74,JULES KOUNDÉ,FC BARCELONA,2,27,0.07
74,MARC ROCA,REAL BETIS,2,24,0.08
74,IVÁN ALEJO,CÁDIZ CF,2,26,0.08
74,ROGER MARTÍ,CÁDIZ CF,2,16,0.13
74,JAVI HERNÁNDEZ,CÁDIZ CF,2,23,0.09
74,GONZALO ESCALANTE,CÁDIZ CF,2,19,0.11
74,CÉSAR AZPILICUETA,ATLÉTICO DE MADRID,2,17,0.12
74,ÁNGEL CORREA,ATLÉTICO DE MADRID,2,24,0.08
74,BRYAN ZARAGOZA,GRANADA CF,2,21,0.1
74,JOSÉ ANTONIO RODRÍGUEZ DÍAZ,GRANADA CF,2,25,0.08
74,CARLOS NEVA,GRANADA CF,2,29,0.07
74,SERGIO RUIZ,GRANADA CF,2,27,0.07
74,ILIAS AKHOMACH,VILLARREAL CF,2,23,0.09
74,SAMUEL DIAS LINO,ATLÉTICO DE MADRID,2,26,0.08
74,FERRAN TORRES,FC BARCELONA,2,22,0.09
74,RAÚL DE TOMÁS,RAYO VALLECANO,2,22,0.09
74,ARSEN ZAKHARYAN,REAL SOCIEDAD,2,21,0.1
74,SERGI CANÓS,VALENCIA CF,2,20,0.1
74,KIERAN TIERNEY,REAL SOCIEDAD,2,15,0.13
74,ÁLEX SOLA,DEPORTIVO ALAVÉS,2,25,0.08
74,MARVIN OLAWALE AKINLABI PARK,UD LAS PALMAS,2,25,0.08
74,NABIL FEKIR,REAL BETIS,2,12,0.17
74,CARLOS VICENTE,DEPORTIVO ALAVÉS,2,11,0.18
74,JOHNNY CARDOSO,REAL BETIS,2,9,0.22
74,GONÇALO MANUEL GANCHINHO GUEDES,VILLARREAL CF,2,9,0.22
74,PABLO FORNALS,REAL BETIS,2,8,0.25
137,YOUSSEF EN-NESYRI,SEVILLA FC,1,25,0.04
137,MARCOS ACUÑA,SEVILLA FC,1,15,0.07
137,ÓLIVER TORRES,SEVILLA FC,1,25,0.04
