Position,NAME,TEAM,GOALS SCORED,GAMES,GOALS PER MATCH
66,JUAN MIGUEL JIMÉNEZ LÓPEZ,CÁDIZ CF,3,8,0.38
95,IVAN RAKITIC,SEVILLA FC,2,18,0.11
95,ÉRIK LAMELA,SEVILLA FC,2,10,0.2
95,EDGAR GONZÁLEZ,UD ALMERÍA,2,25,0.08
95,SERGIO AKIEME,UD ALMERÍA,2,19,0.11
95,FLORIAN LEJEUNE,RAYO VALLECANO,2,29,0.07
95,JAVI MUÑOZ,UD LAS PALMAS,2,29,0.07
95,ROBIN LE NORMAND,REAL SOCIEDAD,2,23,0.09
95,CARLOS FERNÁNDEZ,REAL SOCIEDAD,2,10,0.2
95,CYLE LARIN,RCD MALLORCA,2,28,0.07
95,DANI RODRÍGUEZ,RCD MALLORCA,2,28,0.07
95,DAVID LÓPEZ,GIRONA FC,2,18,0.11
95,VALERY FERNÁNDEZ,GIRONA FC,2,22,0.09
95,UNAI GÓMEZ,ATHLETIC CLUB,2,20,0.1
95,LUKA MODRIC,REAL MADRID,2,25,0.08
95,AURÉLIEN TCHOUAMÉNI,REAL MADRID,2,24,0.08
95,JUANMI LATASA,GETAFE CF,2,25,0.08
95,ÓSCAR MINGUEZA,RC CELTA,2,30,0.07
95,JONATHAN BAMBA,RC CELTA,2,22,0.09
95,DANI PAREJO,VILLARREAL CF,2,25,0.08
95,ÁLEX BAENA,VILLARREAL CF,2,27,0.07
95,SANTI COMESAÑA,VILLARREAL CF,2,21,0.1
95,MOI GÓMEZ,CA OSASUNA,2,23,0.09
95,JOSÉ ARNAIZ,CA OSASUNA,2,20,0.1
95,RUBÉN GARCÍA,CA OSASUNA,2,23,0.09
95,PEDRO GONZÁLEZ LÓPEZ,FC BARCELONA,2,16,0.13
95,FRENKIE DE JONG,FC BARCELONA,2,19,0.11
95,AITOR RUIBAL,REAL BETIS,2,16,0.13
95,GUIDO RODRÍGUEZ,REAL BETIS,2,18,0.11
95,MARC ROCA,REAL BETIS,2,24,0.08
95,ROGER MARTÍ,CÁDIZ CF,2,16,0.13
95,RUBÉN ALCARAZ,CÁDIZ CF,2,28,0.07
95,RUBÉN DUARTE,DEPORTIVO ALAVÉS,2,22,0.09
95,FRANCISCO JESÚS CRESPO,UD LAS PALMAS,2,15,0.13
95,RODRIGO RIQUELME,ATLÉTICO DE MADRID,2,26,0.08
95,AXEL WITSEL,ATLÉTICO DE MADRID,2,29,0.07
95,TIAGO MANUEL DIAS CORREIA,RAYO VALLECANO,2,16,0.13
95,RAFA MIR,SEVILLA FC,2,15,0.13
95,KIKE SALAS,SEVILLA FC,2,16,0.13
95,NAHUEL MOLINA,ATLÉTICO DE MADRID,2,26,0.08
95,JOÃO PEDRO CAVACO CANCELO,FC BARCELONA,2,25,0.08
95,ERIC GARCÍA,GIRONA FC,2,24,0.08
95,MATIJA NASTASIC,RCD MALLORCA,2,22,0.09
95,ASSANE DIAO,REAL BETIS,2,18,0.11
95,ANDRÉ MIGUEL VALENTE DA SILVA,REAL SOCIEDAD,2,14,0.14
95,ALBERTO MOLEIRO,UD LAS PALMAS,2,20,0.1
95,VITOR HUGO ROQUE FERREIRA,FC BARCELONA,2,10,0.2
95,GONÇALO MANUEL GANCHINHO GUEDES,VILLARREAL CF,2,9,0.22
95,LUKA ROMERO,UD ALMERÍA,2,6,0.33
95,CHIMY ÁVILA,REAL BETIS,2,23,0.09
95,JONATHAN VIERA,UD ALMERÍA,2,15,0.13
145,JESÚS JOAQUÍN FERNÁNDEZ SÁENZ DE LA TORRE,SEVILLA FC,1,24,0.04
145,DJIBRIL SOW,SEVILLA FC,1,24,0.04
145,NEMANJA GUDELJ,SEVILLA FC,1,19,0.05
145,MARKO MILOVANOVIC,UD ALMERÍA,1,11,0.09
145,ADRI EMBARBA,UD ALMERÍA,1,28,0.04
145,MARC PUBILL,UD ALMERÍA,1,16,0.06
145,FRAN PÉREZ,VALENCIA CF,1,30,0.03
145,MOUCTAR DIAKHABY,VALENCIA CF,1,14,0.07
145,JESÚS VÁZQUEZ,VALENCIA CF,1,16,0.06
145,DOMINGOS ANDRÉ RIBEIRO ALMEIDA,VALENCIA CF,1,10,0.1
145,JOSÉ GAYÀ,VALENCIA CF,1,22,0.05
145,RADAMEL FALCAO,RAYO VALLECANO,1,16,0.06
145,ÓSCAR VALENTÍN,RAYO VALLECANO,1,27,0.04
145,RANDY NTEKA,RAYO VALLECANO,1,11,0.09
145,PATHÉ CISS,RAYO VALLECANO,1,24,0.04
145,UNAI LÓPEZ,RAYO VALLECANO,1,27,0.04
145,SAÚL COCO,UD LAS PALMAS,1,23,0.04
145,ÁLEX SUÁREZ,UD LAS PALMAS,1,24,0.04
145,SANDRO RAMÍREZ,UD LAS PALMAS,1,19,0.05
145,SERGI CARDONA,UD LAS PALMAS,1,29,0.03
145,JAVI LLABRÉS,RCD MALLORCA,1,14,0.07
145,JOSÉ MANUEL ARIAS COPETE,RCD MALLORCA,1,15,0.07
145,SAMUEL DE ALMEIDA COSTA,RCD MALLORCA,1,28,0.04
145,YAN BUENO COUTO,GIRONA FC,1,28,0.04
145,DALEY BLIND,GIRONA FC,1,26,0.04
145,MIGUEL GUTIÉRREZ,GIRONA FC,1,28,0.04
145,IKER MUNIAIN,ATHLETIC CLUB,1,16,0.06
145,ÍÑIGO RUÍZ DE GALARRETA,ATHLETIC CLUB,1,24,0.04
145,AITOR PAREDES,ATHLETIC CLUB,1,28,0.04
145,ÓSCAR DE MARCOS,ATHLETIC CLUB,1,23,0.04
145,ANTONIO RÜDIGER,REAL MADRID,1,26,0.04
145,FEDERICO VALVERDE,REAL MADRID,1,30,0.03
145,TONI KROOS,REAL MADRID,1,29,0.03
145,GASTÓN ÁLVAREZ,GETAFE CF,1,27,0.04
145,STEFAN MITROVIC,GETAFE CF,1,11,0.09
145,CARLES ALEÑÁ,GETAFE CF,1,24,0.04
145,CARLES PÉREZ,RC CELTA,1,11,0.09
145,LUCA DE LA TORRE,RC CELTA,1,26,0.04
145,UNAI NÚÑEZ,RC CELTA,1,29,0.03
145,ALBERTO MORENO,VILLARREAL CF,1,22,0.05
145,ÉTIENNE CAPOUE,VILLARREAL CF,1,28,0.04
145,JUAN FOYTH,VILLARREAL CF,1,12,0.08
145,ALFONSO PEDRAZA,VILLARREAL CF,1,15,0.07
145,AÏSSA MANDI,VILLARREAL CF,1,14,0.07
145,ALEJANDRO CATENA,CA OSASUNA,1,23,0.04
145,PABLO IBÁÑEZ,CA OSASUNA,1,26,0.04
145,AIMAR OROZ,CA OSASUNA,1,29,0.03
145,JESÚS ARESO,CA OSASUNA,1,29,0.03
145,RONALD ARAUJO,FC BARCELONA,1,21,0.05
145,JULES KOUNDÉ,FC BARCELONA,1,27,0.04
145,PABLO MARTÍN PÁEZ GAVIRA,FC BARCELONA,1,12,0.08
145,GERMÁN PEZZELLA,REAL BETIS,1,28,0.04
145,FEDE SAN EMETERIO,CÁDIZ CF,1,4,0.25
145,JAVI HERNÁNDEZ,CÁDIZ CF,1,23,0.04
145,LUCAS PIRES SILVA,CÁDIZ CF,1,22,0.05
145,LUIS HERNÁNDEZ,CÁDIZ CF,1,9,0.11
145,RODRIGO DE PAUL,ATLÉTICO DE MADRID,1,26,0.04
145,SAÚL ÑÍGUEZ,ATLÉTICO DE MADRID,1,29,0.03
145,ABDE REBBACH,DEPORTIVO ALAVÉS,1,20,0.05
145,ALEKSANDAR SEDLAR,DEPORTIVO ALAVÉS,1,11,0.09
145,ANDONI GOROSABEL,DEPORTIVO ALAVÉS,1,29,0.03
145,ANDER GUEVARA,DEPORTIVO ALAVÉS,1,29,0.03
145,CARLOS BENAVÍDEZ,DEPORTIVO ALAVÉS,1,23,0.04
145,GONZALO VILLAR,GRANADA CF,1,27,0.04
145,IGNASI MIQUEL,GRANADA CF,1,29,0.03
145,MIGUEL RUBIO,GRANADA CF,1,12,0.08
145,BENITO RAMÍREZ,UD LAS PALMAS,1,15,0.07
145,JULIÁN ARAUJO,UD LAS PALMAS,1,22,0.05
145,ILIAS AKHOMACH,VILLARREAL CF,1,23,0.04
145,LUCAS VÁZQUEZ,REAL MADRID,1,23,0.04
145,JON PACHECO,REAL SOCIEDAD,1,16,0.06
145,CARL STARFELT,RC CELTA,1,23,0.04
145,ABDUL MUMIN,RAYO VALLECANO,1,13,0.08
145,RAÚL DE TOMÁS,RAYO VALLECANO,1,22,0.05
145,JORGE DE FRUTOS,RAYO VALLECANO,1,28,0.04
